Station_ID,Stop_ID,Station_Name,Destination,Route,Run_Number,Prediction_Time,Arrival_Time,Is_Approaching,Is_Scheduled,Is_Delayed,Is_Fault
41130,30215,Halsted,Loop,Org,714,2023-04-23T17:30:18,2023-04-23T17:31:18,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,818,2023-04-23T17:30:47,2023-04-23T17:31:47,1,0,0,0
41360,30265,California,Cottage Grove,G,15,2023-04-23T17:30:25,2023-04-23T17:31:25,1,0,0,0
41360,30266,California,Harlem/Lake,G,613,2023-04-23T17:30:09,2023-04-23T17:31:09,1,0,0,0
41680,30298,Oakton-Skokie,Howard,Y,594,2023-04-23T17:30:59,2023-04-23T17:31:59,1,0,0,0
41360,30265,California,Cottage Grove,G,15,2023-04-23T17:30:25,2023-04-23T17:31:25,1,0,0,0
41680,30298,Oakton-Skokie,Howard,Y,594,2023-04-23T17:30:59,2023-04-23T17:31:59,1,0,0,0
41680,30298,Oakton-Skokie,Howard,Y,594,2023-04-23T17:31:36,2023-04-23T17:32:36,1,0,0,0
41680,30297,Oakton-Skokie,Skokie,Y,593,2023-04-23T17:34:37,2023-04-23T17:35:37,1,0,0,0
41680,30297,Oakton-Skokie,Skokie,Y,593,2023-04-23T17:34:57,2023-04-23T17:35:57,1,0,0,0
41030,30199,Polk,Loop,Pink,314,2023-04-23T17:35:08,2023-04-23T17:36:08,1,0,0,0
41680,30297,Oakton-Skokie,Skokie,Y,593,2023-04-23T17:35:33,2023-04-23T17:36:33,1,0,0,0
41030,30199,Polk,Loop,Pink,314,2023-04-23T17:35:32,2023-04-23T17:36:32,1,0,0,0
40840,30164,South Boulevard,Howard,P,507,2023-04-23T17:35:58,2023-04-23T17:36:58,1,0,0,0
40840,30164,South Boulevard,Howard,P,507,2023-04-23T17:35:58,2023-04-23T17:36:58,1,0,0,0
40330,30064,Grand,Howard,Red,915,2023-04-23T17:37:47,2023-04-23T17:38:47,1,0,0,0
